WingAlgorithmTimestamp,servo1Angle,servo2Angle,targetAngle, velocityAngle,targetX,targetY
226557496,120,120,0.755362,0.747038,10.5945,9.97649
226657496,120,120,0.747852,0.760814,10.5934,9.82631
226757496,120,120,0.744007,0.771531,10.588,9.74586
226857500,120,120,0.743966,0.774668,10.5854,9.74272
226957500,120,120,0.747787,-2.28454,10.6,9.83124
227057500,120,120,0.747838,-2.32443,10.6048,9.8367
227157500,120,120,0.74782,-2.25251,10.6003,9.83211
227257500,120,120,0.744054,-1.92509,10.5983,9.75631
227357500,120,120,0.747774,0.690184,10.5963,9.82752
227457504,120,120,0.747813,-2.28644,10.5992,9.83099
227557504,120,120,0.747805,0.678181,10.5966,9.82835
227657504,120,120,0.7478,0.720254,10.5957,9.82743
227757512,120,120,0.771752,0.761629,10.1715,9.89764
227857504,120,120,0.771947,0.77178,10.1644,9.89455
227957504,120,120,0.768212,0.740781,10.1695,9.8258
228057508,120,120,0.771933,-2.25138,10.1751,9.90472
228157508,120,120,0.768216,-0.873843,10.1738,9.83008
228257508,120,120,0.76442,0.673167,10.1729,9.75479
228357512,120,120,0.764389,-2.27801,10.1751,9.75634
228457508,120,120,0.764383,0.738193,10.1717,9.7529
228557508,120,120,0.78168,0.773459,9.74364,9.67145
228657508,120,120,0.770243,0.770432,9.7435,9.45256
228757512,120,120,0.762271,0.766382,9.74096,9.30051
228857512,120,120,0.746101,0.768554,9.74226,9.00517
228957512,120,120,0.741889,0.63342,9.74836,8.93496
229057512,120,120,0.729358,0.650856,9.74767,8.7121
229157512,120,120,0.720783,-1.36183,9.74969,8.56466
229257512,120,120,0.707699,0.748903,9.74538,8.33752
229357512,120,120,0.694331,0.728251,9.74793,8.11655
229457516,120,120,0.676039,0.71136,9.74703,7.81839
229557516,120,120,0.657187,0.584955,9.74833,7.52189
229657516,120,120,0.642535,0.754583,9.74319,7.2927
229757516,120,120,0.622723,0.755177,9.74477,6.99701
229857516,120,120,0.617706,0.774733,9.32159,6.62254
229957524,120,120,0.590839,0.775149,9.31886,6.25083
230057520,120,120,0.557119,0.770957,9.32023,5.80597
230157520,120,120,0.527796,0.783689,9.32092,5.43372
230257520,120,120,0.497604,0.843295,9.32474,5.06516
230357520,120,120,0.467681,-2.36786,9.76036,4.92949
230457524,120,120,0.442977,-2.37394,9.76266,4.63162
230557520,120,120,0.417483,-2.41411,9.75668,4.32764
230657520,120,120,0.358435,-2.38782,10.1842,3.81517
230757524,120,120,0.32636,-2.37624,10.1976,3.45151
230857524,120,120,0.295318,-2.37226,10.6229,3.23164
