timestamp,threadId,minimumStack
77292,4,16204
76656,5,16256
76730,6,15588
77087,7,16180
76312,8,16180
77339,10,1436
76343,16,15300
34823,0,14844
78329,1,14796
78290,3,15028
78292,4,16204
77632,5,16256
77707,6,15588
78118,7,16180
78312,8,16180
78339,10,1436
77343,16,15300
34823,0,14844
79335,1,14796
79288,3,15028
79292,4,16204
78608,5,16256
78682,6,15588
79259,7,16180
78312,8,16180
79339,10,1436
78343,16,15300
34823,0,14844
80307,1,14796
80289,3,15028
80292,4,16204
79586,5,16256
79662,6,15588
80293,7,16180
80312,8,16180
80339,10,1436
79343,16,15300
34823,0,14844
81313,1,14796
81289,3,15028
81292,4,16204
80564,5,16256
80642,6,15588
80984,7,16180
